PLAYER,YEAR,PTS,AST,REB,BLK,STL
Antonio Davis,2000,13.7,1.4,10.1,1.9,0.3
Antonio McDyess,2000,20.8,2.1,12.0,1.5,0.6
Chris Webber,2000,27.1,4.2,11.1,1.7,1.3
Dikembe Mutombo,2000,10.0,1.0,13.5,2.7,0.4
Elton Brand,2000,20.1,3.2,10.1,1.6,1.0
Kevin Garnett,2000,22.0,5.0,11.399999999999999,1.8,1.4
Shaquille O'Neal,2000,28.7,3.7,12.700000000000001,2.8,0.6
Shawn Marion,2000,17.3,2.0,10.7,1.4,1.7
Tim Duncan,2000,22.2,3.0,12.2,2.3,0.9
Andre Miller,2001,16.5,10.9,4.6,0.4,1.6
Danny Fortson,2001,11.2,1.6,11.7,0.2,0.6
Dikembe Mutombo,2001,11.5,1.0,10.8,2.4,0.4
Dirk Nowitzki,2001,23.4,2.4,10.0,1.0,1.1
Elton Brand,2001,18.2,2.4,11.6,2.0,1.0
Jermaine O'Neal,2001,19.0,1.6,10.5,2.3,0.6
Kevin Garnett,2001,21.2,5.2,12.1,1.6,1.2
Shaquille O'Neal,2001,27.2,3.0,10.7,2.0,0.6
Tim Duncan,2001,25.5,3.7,12.7,2.5,0.7
Brian Grant,2002,10.3,1.3,10.2,0.6,0.8
Chris Webber,2002,23.0,5.4,10.5,1.3,1.6
Jermaine O'Neal,2002,20.8,2.0,10.3,2.3,0.9
Kevin Garnett,2002,23.0,6.0,13.5,1.6,1.4
Shaquille O'Neal,2002,27.5,3.1,11.1,2.4,0.6
Tim Duncan,2002,23.3,3.9,12.899999999999999,2.9,0.7
Troy Murphy,2002,11.7,1.3,10.2,0.4,0.8
Brad Miller,2003,14.1,4.3,10.4,1.2,0.9
Carlos Boozer,2003,15.5,2.0,11.5,0.7,1.0
Erick Dampier,2003,12.3,0.8,11.899999999999999,1.9,0.4
Jamaal Magloire,2003,13.6,1.0,10.399999999999999,1.2,0.5
Jermaine O'Neal,2003,20.1,2.1,10.0,2.6,0.8
Kenny Thomas,2003,13.6,1.5,10.1,0.4,1.1
Kevin Garnett,2003,24.2,5.0,13.9,2.2,1.5
Shaquille O'Neal,2003,21.5,2.9,11.5,2.5,0.5
Tim Duncan,2003,22.3,3.1,12.5,2.7,0.9
Zach Randolph,2003,20.1,2.0,10.5,0.5,0.8
Dwight Howard,2004,12.0,0.9,10.0,1.7,0.9
